jao,jao@example.com,@Ja123456,362
corinthians,corinthians@example.com,@Corinthians2020,611
Guilherme,Guilherme@mgial.com,@Pimenta,329
Feenixs,feenixs@gmail.com,12345678!Aa,2968
TesteA,testea@teste.com,testeA!111,984
TesteB,testeb@testeb.com,testeB!111,986
TesteC,testec@testec.com,testeB!111,999
TesteD,tested@tested.com,testeB!111,999
TesteE,testee@testee.com,testeB!111,1
TesteF,testef@testef.com,testeB!111,9999
s,s@s.com,12345678Aa!,1000
GUILHERME,guilherme@fmail.com,123aA!qqq,1000
Pablo,Pablo@gmail.com,123aA!qqq,1000
a,a,a,1016
b,b,b,984
TesteRatingA,a@a.com,Chess@2024,1968
TesteRatingB,b@b.com,Chess@2024,1014
gui,gui@gmail.com,@Chess11,1030
guii,guii@gmail.com,@Chess11,969
